fid;FUNOGBUD_BZPL;FUNSZCZ_BZPL;FUNOGBUD_PL;FUNSZCZ_PL
35398;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
36558;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
62820;Budynki Kultu Religijnego;Kaplica;Budynki Kultu Religijnego;Kaplica
13640;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
3649;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
67078;Budynki Muzeow I Bibliotek;Archiwum;Budynki Muzeów I Bibliotek;Archiwum
24650;Budynki Zbiorowego Zamieszkania;Klasztor;Budynki Zbiorowego Zamieszkania;Klasztor
35219;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
34010;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
44762;Budynki Muzeow I Bibliotek;Muzeum;Budynki Muzeów I Bibliotek;Muzeum
11392;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
70680;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
44749;Budynki Biurowe;Bank;Budynki Biurowe;Bank
20437;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
39244;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa
70697;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa, Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa, Szkoła Wyższa
70695;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa, Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa, Szkoła Wyższa
64170;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa, Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa, Szkoła Wyższa
12585;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Placowka Ochrony Zdrowia, Siedziba Firmy Lub Firm;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Placówka Ochrony Zdrowia, Siedziba Firmy Lub Firm
11888;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
70653;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
34107;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
31255;Budynki Zbiorowego Zamieszkania;Dom Parafialny;Budynki Zbiorowego Zamieszkania;Dom Parafialny
67494;Budynki Muzeow I Bibliotek;Muzeum;Budynki Muzeów I Bibliotek;Muzeum
3201;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
20002;Budynki Biurowe;Sad;Budynki Biurowe;Sad
11404;Budynki Zakwaterowania Turystycznego Pozostale;Osrodek Szkoleniowo Wypoczynkowy, Pawilon Handlowo Uslugowy, Siedziba Firmy Lub Firm;Budynki Zakwaterowania Turystycznego Pozostale;Osrodek Szkoleniowo Wypoczynkowy, Pawilon Handlowo Usługowy, Siedziba Firmy Lub Firm
46000;Budynki Biurowe;Pawilon Handlowo Uslugowy, Restauracja, Siedziba Firmy Lub Firm;Budynki Biurowe;Pawilon Handlowo Usługowy, Restauracja, Siedziba Firmy Lub Firm
3412;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
3528;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
11877;Budynki Biurowe;Prokuratura;Budynki Biurowe;Prokuratura
45377;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Siedziba Firmy Lub Firm;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Siedziba Firmy Lub Firm
55102;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
19706;Budynki Biurowe;Sad;Budynki Biurowe;Sad
11939;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
70671;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
70672;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
45548;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
30937;Budynki Muzeow I Bibliotek;Biblioteka;Budynki Muzeów I Bibliotek;Biblioteka
44946;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Budynek Wielorodzinny
12759;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
28286;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
54337;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
28526;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
4790;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
35471;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
70699;Budynki Szpitali I Zakladow Opieki Medycznej;Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Szpital
57907;Budynki Szpitali I Zakladow Opieki Medycznej;Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Szpital
14309;Budynki Szkol I Instytucji Badawczych;Przedszkole;Budynki Szkół I Instytucji Badawczych;Przedszkole
22013;Budynki Zbiorowego Zamieszkania;Dom Parafialny;Budynki Zbiorowego Zamieszkania;Dom Parafialny
64999;Budynki Zbiorowego Zamieszkania;Klasztor;Budynki Zbiorowego Zamieszkania;Klasztor
22465;Budynki Handlowo Uslugowe;Pawilon Handlowo Uslugowy;Budynki Handlowo Usługowe;Pawilon Handlowo Usługowy
38931;Budynki Hoteli;Restauracja;Budynki Hoteli;Restauracja
15549;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
70711;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
6276;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
39179;Zbiornik Silos I Budynki Magazynowe;Magazyn;Zbiornik Silos I Budynki Magazynowe;Magazyn
70705;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
6777;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
53622;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
3875;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
28932;Budynki Muzeow I Bibliotek;Muzeum;Budynki Muzeów I Bibliotek;Muzeum
53544;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
70664;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
66638;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
70663;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
70665;Budynki Przemyslowe;Produkcyjny;Budynki Przemysłowe;Produkcyjny
35327;Budynki Przemyslowe;Kotlownia;Budynki Przemysłowe;Kotlownia
70707;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
67176;Budynki Biurowe;Siedziba Firmy Lub Firm, Warsztat Remontowo Naprawczy;Budynki Biurowe;Siedziba Firmy Lub Firm, Warsztat Remontowo Naprawczy
42192;Budynki Przemyslowe;Siedziba Firmy Lub Firm, Warsztat Remontowo Naprawczy;Budynki Przemysłowe;Siedziba Firmy Lub Firm, Warsztat Remontowo Naprawczy
41218;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
6232;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
57438;Budynki Przemyslowe;Elektrownia;Budynki Przemysłowe;Elektrownia
22877;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
70708;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
62577;Ogolnodostepne Obiekty Kulturalne;Teatr;Ogólnodostępne Obiekty Kulturalne;Teatr
53146;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
3451;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa
19696;Ogolnodostepne Obiekty Kulturalne;Dom Kultury, Placowka Dyplomatyczna Lub Konsularna, Restauracja;Ogólnodostępne Obiekty Kulturalne;Dom Kultury, Placówka Dyplomatyczna Lub Konsularna, Restauracja
70712;Budynki Szpitali I Zakladow Opieki Medycznej;Apteka, Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Apteka, Szpital
35026;Budynki Szpitali I Zakladow Opieki Medycznej;Apteka, Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Apteka, Szpital
70723;Budynki Szpitali I Zakladow Opieki Medycznej;Apteka, Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Apteka, Szpital
70718;Budynki Szpitali I Zakladow Opieki Medycznej;Apteka, Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Apteka, Szpital
70715;Budynki Szpitali I Zakladow Opieki Medycznej;Apteka, Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Apteka, Szpital
70724;Budynki Szpitali I Zakladow Opieki Medycznej;Apteka, Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Apteka, Szpital
38360;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
55384;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
20598;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
70675;Budynki Zbiorowego Zamieszkania;Klasztor, Kosciol;Budynki Zbiorowego Zamieszkania;Klasztor, Kościół
39423;Budynki Zbiorowego Zamieszkania;Klasztor, Kosciol;Budynki Zbiorowego Zamieszkania;Klasztor, Kościół
70657;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
54229;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka
27688;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Restauracja;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Restauracja
62575;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Budynek Wielorodzinny, Muzeum, Restauracja;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Budynek Wielorodzinny, Muzeum, Restauracja
62312;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
20427;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
64960;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
34858;Ogolnodostepne Obiekty Kulturalne;Teatr;Ogólnodostępne Obiekty Kulturalne;Teatr
70690;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
11890;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
68361;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
3522;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
62277;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
28504;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
62414;Budynki Muzeow I Bibliotek;Biblioteka;Budynki Muzeów I Bibliotek;Biblioteka
27924;Budynki Muzeow I Bibliotek;Centrum Informacyjne, Restauracja, Teatr;Budynki Muzeów I Bibliotek;Centrum Informacyjne, Restauracja, Teatr
63213;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
48039;Budynki Biurowe;Urzad Miasta;Budynki Biurowe;Urząd Miasta
20470;Budynki Biurowe;Restauracja, Siedziba Firmy Lub Firm, Stacja Sanitarno Epidemiologiczna;Budynki Biurowe;Restauracja, Siedziba Firmy Lub Firm, Stacja Sanitarno Epidemiologiczna
29507;Budynki Hoteli;Restauracja;Budynki Hoteli;Restauracja
53317;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
45556;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
3152;Budynki Muzeow I Bibliotek;Biblioteka;Budynki Muzeów I Bibliotek;Biblioteka
70701;Budynki Szkol I Instytucji Badawczych;Pawilon Handlowo Uslugowy, Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Pawilon Handlowo Usługowy, Szkoła Wyższa
44752;Budynki Szkol I Instytucji Badawczych;Pawilon Handlowo Uslugowy, Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Pawilon Handlowo Usługowy, Szkoła Wyższa
62817;Budynki Biurowe;Biblioteka, Siedziba Firmy Lub Firm;Budynki Biurowe;Biblioteka, Siedziba Firmy Lub Firm
65918;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
35085;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
28734;Budynki Zbiorowego Zamieszkania;Klasztor;Budynki Zbiorowego Zamieszkania;Klasztor
70691;Budynki Zbiorowego Zamieszkania;Klasztor;Budynki Zbiorowego Zamieszkania;Klasztor
567;Budynki O Trzech I Wiecej Mieszkaniach;Bank, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Bank, Budynek Wielorodzinny
29024;Budynki Biurowe;Bank;Budynki Biurowe;Bank
3409;Budynki Biurowe;Bank, Siedziba Firmy Lub Firm;Budynki Biurowe;Bank, Siedziba Firmy Lub Firm
37517;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
11794;Budynki Hoteli;Hotel, Restauracja;Budynki Hoteli;Hotel, Restauracja
12165;Budynki Hoteli;Restauracja;Budynki Hoteli;Restauracja
4713;Budynki Muzeow I Bibliotek;Muzeum;Budynki Muzeów I Bibliotek;Muzeum
62111;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
27984;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
63868;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
4532;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
34005;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka, Pawilon Handlowo Usługowy
12755;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
31175;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
19433;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
39373;Pozostale Budynki Niemieszkalne;Stacja Pomp;Pozostale Budynki Niemieszkalne;Stacja Pomp
41222;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy
24491;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy
20129;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
35070;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
46596;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
44345;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
54533;Budynki Szpitali I Zakladow Opieki Medycznej;Apteka, Szpital;Budynki Szpitali I Zakładów Opieki Medycznej;Apteka, Szpital
36766;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
40440;Budynki Biurowe;Kuria Metropolitarna, Placowka Ochrony Zdrowia;Budynki Biurowe;Kuria Metropolitarna, Placówka Ochrony Zdrowia
5995;Budynki Biurowe;Kuria Metropolitarna;Budynki Biurowe;Kuria Metropolitarna
39382;Budynki Kultu Religijnego;Inny Budynek Kultu Religijnego;Budynki Kultu Religijnego;Inny Budynek Kultu Religijnego
11786;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
35079;Budynki Hoteli;Hotel;Budynki Hoteli;Hotel
20816;Budynki Biurowe;Bank, Urzad Miasta;Budynki Biurowe;Bank, Urząd Miasta
11608;Budynki O Trzech I Wiecej Mieszkaniach;Bank, Budynek Gospodarczy, Budynek Wielorodzinny, Pawilon Handlowo Uslugowy, Placowka Ochrony Zdrowia;Budynki O Trzech I Więcej Mieszkaniach;Bank, Budynek Gospodarczy, Budynek Wielorodzinny, Pawilon Handlowo Usługowy, Placówka Ochrony Zdrowia
3385;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Restauracja;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Restauracja
3606;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
61933;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
28796;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
21768;Budynki Zbiorowego Zamieszkania;Dom Parafialny;Budynki Zbiorowego Zamieszkania;Dom Parafialny
56055;Budynki Zbiorowego Zamieszkania;Klasztor;Budynki Zbiorowego Zamieszkania;Klasztor
53495;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy, Restauracja;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy, Restauracja
20619;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
12077;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Restauracja;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Restauracja
11991;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
29111;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
64164;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
35235;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
62443;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
64510;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
11624;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Restauracja, Siedziba Firmy Lub Firm;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Restauracja, Siedziba Firmy Lub Firm
35193;Budynki O Trzech I Wiecej Mieszkaniach;Bank, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Bank, Budynek Wielorodzinny
3789;Budynki Muzeow I Bibliotek;Muzeum;Budynki Muzeów I Bibliotek;Muzeum
68509;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy
63467;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
37694;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
58547;Budynki Kultury Fizycznej;Sala Gimnastyczna;Budynki Kultury Fizycznej;Sala Gimnastyczna
49677;Budynki Szkol I Instytucji Badawczych;Przedszkole, Szkola Podstawowa, Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Przedszkole, Szkoła Podstawowa, Szkoła Ponadpodstawowa
8422;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa
70658;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
62902;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Klub Dyskoteka, Pawilon Handlowo Usługowy
50784;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy, Restauracja;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy, Restauracja
64680;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy, Placowka Ochrony Zdrowia;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy, Placówka Ochrony Zdrowia
